DAQ Chan	ADC Name	ADC Chan	Chan Name
0	grifadc108	0	TIG05BP01x
1	grifadc108	1	TIG05BP02x
2	grifadc108	2	TIG05BP03x
3	grifadc108	3	TIG05BP04x
4	grifadc108	4	TIG05BP05x
5	grifadc108	5	TIG05BP06x
6	grifadc108	6	TIG05BP07x
7	grifadc108	7	TIG05BP08x
8	grifadc108	8	TIG05BN00B
9	grifadc108	9	TIG05BN00A
10	grifadc108	10	TIS05BN01x
11	grifadc108	11	TIS05BN02x
12	grifadc108	12	TIS05BN03x
13	grifadc108	13	TIS05BN04x
14	grifadc108	14	TIS05BN05x
15	grifadc109	0	TIG05GP01x
16	grifadc109	1	TIG05GP02x
17	grifadc109	2	TIG05GP03x
18	grifadc109	3	TIG05GP04x
19	grifadc109	4	TIG05GP05x
20	grifadc109	5	TIG05GP06x
21	grifadc109	6	TIG05GP07x
22	grifadc109	7	TIG05GP08x
23	grifadc109	8	TIG05GN00B
24	grifadc109	9	TIG05GN00A
25	grifadc109	10	TIS05GN01x
26	grifadc109	11	TIS05GN02x
27	grifadc109	12	TIS05GN03x
28	grifadc109	13	TIS05GN04x
29	grifadc109	14	TIS05GN05x
30	grifadc106	0	TIG05RP01x
31	grifadc106	1	TIG05RP02x
32	grifadc106	2	TIG05RP03x
33	grifadc106	3	TIG05RP04x
34	grifadc106	4	TIG05RP05x
35	grifadc106	5	TIG05RP06x
36	grifadc106	6	TIG05RP07x
37	grifadc106	7	TIG05RP08x
38	grifadc106	8	TIG05RN00B
39	grifadc106	9	TIG05RN00A
40	grifadc106	10	TIS05RN01x
41	grifadc106	11	TIS05RN02x
42	grifadc106	12	TIS05RN03x
43	grifadc106	13	TIS05RN04x
44	grifadc106	14	TIS05RN05x
45	grifadc111	0	TIG05WP01x
46	grifadc111	1	TIG05WP02x
47	grifadc111	2	TIG05WP03x
48	grifadc111	3	TIG05WP04x
49	grifadc111	4	TIG05WP05x
50	grifadc111	5	TIG05WP06x
51	grifadc111	6	TIG05WP07x
52	grifadc111	7	TIG05WP08x
53	grifadc111	8	TIG05WN00B
54	grifadc111	9	TIG05WN00A
55	grifadc111	10	TIS05WN01x
56	grifadc111	11	TIS05WN02x
57	grifadc111	12	TIS05WN03x
58	grifadc111	13	TIS05WN04x
59	grifadc111	14	TIS05WN05x
60	grifadc129	0	TIG06BP01x
61	grifadc129	1	TIG06BP02x
62	grifadc129	2	TIG06BP03x
63	grifadc129	3	TIG06BP04x
64	grifadc129	4	TIG06BP05x
65	grifadc129	5	TIG06BP06x
66	grifadc129	6	TIG06BP07x
67	grifadc129	7	TIG06BP08x
68	grifadc129	8	TIG06BN00B
69	grifadc129	9	TIG06BN00A
70	grifadc129	10	TIS06BN01x
71	grifadc129	11	TIS06BN02x
72	grifadc129	12	TIS06BN03x
73	grifadc129	13	TIS06BN04x
74	grifadc129	14	TIS06BN05x
75	grifadc131	0	TIG06GP01x
76	grifadc131	1	TIG06GP02x
77	grifadc131	2	TIG06GP03x
78	grifadc131	3	TIG06GP04x
79	grifadc131	4	TIG06GP05x
80	grifadc131	5	TIG06GP06x
81	grifadc131	6	TIG06GP07x
82	grifadc131	7	TIG06GP08x
83	grifadc131	8	TIG06GN00B
84	grifadc131	9	TIG06GN00A
85	grifadc131	10	TIS06GN01x
86	grifadc131	11	TIS06GN02x
87	grifadc131	12	TIS06GN03x
88	grifadc131	13	TIS06GN04x
89	grifadc131	14	TIS06GN05x
90	grifadc132	0	TIG06RP01x
91	grifadc132	1	TIG06RP02x
92	grifadc132	2	TIG06RP03x
93	grifadc132	3	TIG06RP04x
94	grifadc132	4	TIG06RP05x
95	grifadc132	5	TIG06RP06x
96	grifadc132	6	TIG06RP07x
97	grifadc132	7	TIG06RP08x
98	grifadc132	8	TIG06RN00B
99	grifadc132	9	TIG06RN00A
100	grifadc132	10	TIS06RN01x
101	grifadc132	11	TIS06RN02x
102	grifadc132	12	TIS06RN03x
103	grifadc132	13	TIS06RN04x
104	grifadc132	14	TIS06RN05x
105	grifadc133	0	TIG06WP01x
106	grifadc133	1	TIG06WP02x
107	grifadc133	2	TIG06WP03x
108	grifadc133	3	TIG06WP04x
109	grifadc133	4	TIG06WP05x
110	grifadc133	5	TIG06WP06x
111	grifadc133	6	TIG06WP07x
112	grifadc133	7	TIG06WP08x
113	grifadc133	8	TIG06WN00B
114	grifadc133	9	TIG06WN00A
115	grifadc133	10	TIS06WN01x
116	grifadc133	11	TIS06WN02x
117	grifadc133	12	TIS06WN03x
118	grifadc133	13	TIS06WN04x
119	grifadc133	14	TIS06WN05x
120	grifadc142	0	TIG07BP01x
121	grifadc142	1	TIG07BP02x
122	grifadc142	2	TIG07BP03x
123	grifadc142	3	TIG07BP04x
124	grifadc142	4	TIG07BP05x
125	grifadc142	5	TIG07BP06x
126	grifadc142	6	TIG07BP07x
127	grifadc142	7	TIG07BP08x
128	grifadc142	8	TIG07BN00B
129	grifadc142	9	TIG07BN00A
130	grifadc142	10	TIS07BN01x
131	grifadc142	11	TIS07BN02x
132	grifadc142	12	TIS07BN03x
133	grifadc142	13	TIS07BN04x
134	grifadc142	14	TIS07BN05x
135	grifadc143	0	TIG07GP01x
136	grifadc143	1	TIG07GP02x
137	grifadc143	2	TIG07GP03x
138	grifadc143	3	TIG07GP04x
139	grifadc143	4	TIG07GP05x
140	grifadc143	5	TIG07GP06x
141	grifadc143	6	TIG07GP07x
142	grifadc143	7	TIG07GP08x
143	grifadc143	8	TIG07GN00B
144	grifadc143	9	TIG07GN00A
145	grifadc143	10	TIS07GN01x
146	grifadc143	11	TIS07GN02x
147	grifadc143	12	TIS07GN03x
148	grifadc143	13	TIS07GN04x
149	grifadc143	14	TIS07GN05x
150	grifadc148	0	TIG07RP01x
151	grifadc148	1	TIG07RP02x
152	grifadc148	2	TIG07RP03x
153	grifadc148	3	TIG07RP04x
154	grifadc148	4	TIG07RP05x
155	grifadc148	5	TIG07RP06x
156	grifadc148	6	TIG07RP07x
157	grifadc148	7	TIG07RP08x
158	grifadc148	8	TIG07RN00B
159	grifadc148	9	TIG07RN00A
160	grifadc148	10	TIS07RN01x
161	grifadc148	11	TIS07RN02x
162	grifadc148	12	TIS07RN03x
163	grifadc148	13	TIS07RN04x
164	grifadc148	14	TIS07RN05x
165	grifadc149	0	TIG07WP01x
166	grifadc149	1	TIG07WP02x
